CatalogNumber,ObservedDate,ObservedBy,ObservationType,Observation,ObservationStandardized,ObservationUnit,ObservationMethod
DUMMY-1,,Anders Sparrman,sex,,male,,unspecified
DUMMY-1,,Anders Sparrman,age stage,,embryo,,unspecified
DUMMY-2,,Peter Jonas Bergius,sex,,unknown,,unspecified
DUMMY-2,,Peter Jonas Bergius,age stage,,embryo,,unspecified
DUMMY-3,,Johan Peter Falck,age stage,,adult,,sectioned teeth
DUMMY-3,,Johan Peter Falck,absolute age,3 e 4,,,sectioned teeth
DUMMY-4,,Carl Peter Thunberg,sex,,female,,unspecified
DUMMY-4,,Carl Peter Thunberg,age stage,,adult,,sectioned teeth
DUMMY-4,,Carl Peter Thunberg,absolute age,3,3,year,sectioned teeth
DUMMY-5,,Pehr Löfling,sex,,unknown,,
DUMMY-5,,Pehr Löfling,age stage,,adult,,other
DUMMY-6,,Daniel Solander,sex,,indeterminate,,unspecified
DUMMY-6,,Daniel Solander,age stage,,adult,,unspecified
DUMMY-7,,Pehr Osbeck,sex,,unknown,,unspecified
DUMMY-8,,Peter Jonas Bergius,sex,,male,,unspecified
DUMMY-8,,Peter Jonas Bergius,age stage,,juvenile,,other
DUMMY-8,,Peter Jonas Bergius,absolute age,0,0,year,other
DUMMY-9,,Pehr Osbeck,sex,,female,,unspecified
DUMMY-9,,Pehr Osbeck,age stage,,adult,,unspecified
DUMMY-10,,Johan Peter Falck,sex,,male,,unspecified
DUMMY-10,,Johan Peter Falck,age stage,,juvenile,,unspecified
DUMMY-10,,Johan Peter Falck,complete length,975,975,mm,unspecified
DUMMY-10,,Johan Peter Falck,ear length,84,84,mm,unspecified
DUMMY-10,,Johan Peter Falck,hind foot length,235,235,mm,unspecified
DUMMY-10,,Johan Peter Falck,tail anus length,190,190,mm,unspecified
DUMMY-11,,Pehr Kalm,sex,,unknown,,unspecified
DUMMY-11,,Pehr Kalm,age stage,,adult,,unspecified
DUMMY-12,,Daniel Solander,sex,,male,,unspecified
DUMMY-12,,Daniel Solander,age stage,,adult,,other
DUMMY-12,,Daniel Solander,absolute age,5,5,year,other
DUMMY-13,,Pehr Osbeck,sex,,unknown,,unspecified
DUMMY-13,,Pehr Osbeck,age stage,,adult,,unspecified
