L4 country,L5 province,L6 district,Abbreviation,ISOcode,Category
Finland,,,,FI,L4 country
Finland,Enontekiön Lappi,,EnL (Le,FI,L5 province
Finland,Enontekiön Lappi,Enontekiö,,FI,L6 district
Finland,Etelä-Häme,,EH (Ta),FI,L5 province
Finland,Etelä-Häme,Asikkala,,FI,L6 district
Finland,Etelä-Häme,Forssa,,FI,L6 district
Finland,Etelä-Häme,Hartola,,FI,L6 district
Finland,Etelä-Häme,Hattula,,FI,L6 district
Finland,Etelä-Häme,Hauho,,FI,L6 district
Finland,Etelä-Häme,Hausjärvi,,FI,L6 district
Finland,Etelä-Häme,Heinola,,FI,L6 district
Finland,Etelä-Häme,Hollola,,FI,L6 district
Finland,Etelä-Häme,Humppila,,FI,L6 district
Finland,Etelä-Häme,Hämeenkoski,,FI,L6 district
Finland,Etelä-Häme,Hämeenlinna,,FI,L6 district
Finland,Etelä-Häme,Iitti,,FI,L6 district
Finland,Etelä-Häme,Jaala,,FI,L6 district
Finland,Etelä-Häme,Janakkala,,FI,L6 district
Finland,Etelä-Häme,Jokioinen,,FI,L6 district
Finland,Etelä-Häme,Juupajoki,,FI,L6 district
Finland,Etelä-Häme,Jämsä,,FI,L6 district
Finland,Etelä-Häme,Jämsänkoski,,FI,L6 district
Finland,Etelä-Häme,Kalvola,,FI,L6 district
Finland,Etelä-Häme,Kangasala,,FI,L6 district
Finland,Etelä-Häme,Korpilahti,,FI,L6 district
Finland,Etelä-Häme,Kuhmalahti,,FI,L6 district
Finland,Etelä-Häme,Kuhmoinen,,FI,L6 district
Finland,Etelä-Häme,Kuru,,FI,L6 district
Finland,Etelä-Häme,Kuusankoski,,FI,L6 district
Finland,Etelä-Häme,Kylmäkoski,,FI,L6 district
Finland,Etelä-Häme,Kärkölä,,FI,L6 district
Finland,Etelä-Häme,Lahti,,FI,L6 district
Finland,Etelä-Häme,Lammi,,FI,L6 district
Finland,Etelä-Häme,Lempäälä,,FI,L6 district
Finland,Etelä-Häme,Loppi,,FI,L6 district
Finland,Etelä-Häme,Luhanka,,FI,L6 district
Finland,Etelä-Häme,Luopioinen,,FI,L6 district
Finland,Etelä-Häme,Längelmäki,,FI,L6 district
Finland,Etelä-Häme,Muurame,,FI,L6 district
