L4 country,L5 province,L6 district,Abbreviation,ISOcode,Category
Norway,,,,NO,L4 country
Norway,Akershus/Oslo,,Ak,NO,L5 province
Norway,Akershus/Oslo,Asker,,NO,L6 district
Norway,Akershus/Oslo,Aurskog-Høland,,NO,L6 district
Norway,Akershus/Oslo,Bærum,,NO,L6 district
Norway,Akershus/Oslo,Eidsvoll,,NO,L6 district
Norway,Akershus/Oslo,Enebakk,,NO,L6 district
Norway,Akershus/Oslo,Fet,,NO,L6 district
Norway,Akershus/Oslo,Frogn,,NO,L6 district
Norway,Akershus/Oslo,Gjerdrum,,NO,L6 district
Norway,Akershus/Oslo,Hurdal,,NO,L6 district
Norway,Akershus/Oslo,Lørenskog,,NO,L6 district
Norway,Akershus/Oslo,Nannestad,,NO,L6 district
Norway,Akershus/Oslo,Nes,,NO,L6 district
Norway,Akershus/Oslo,Nesodden,,NO,L6 district
Norway,Akershus/Oslo,Nittedal,,NO,L6 district
Norway,Akershus/Oslo,Oppegård,,NO,L6 district
Norway,Akershus/Oslo,Oslo,,NO,L6 district
Norway,Akershus/Oslo,Rælingen,,NO,L6 district
Norway,Akershus/Oslo,Skedsmo,,NO,L6 district
Norway,Akershus/Oslo,Ski,,NO,L6 district
Norway,Akershus/Oslo,Sørum,,NO,L6 district
Norway,Akershus/Oslo,Ullensaker,,NO,L6 district
Norway,Akershus/Oslo,Vestby,,NO,L6 district
Norway,Akershus/Oslo,Ås,,NO,L6 district
Norway,Aust-Agder,,AA,NO,L5 province
Norway,Aust-Agder,Arendal,,NO,L6 district
Norway,Aust-Agder,Birkenes,,NO,L6 district
Norway,Aust-Agder,Bygland,,NO,L6 district
Norway,Aust-Agder,Bykle,,NO,L6 district
Norway,Aust-Agder,Evje og Hornnes,,NO,L6 district
Norway,Aust-Agder,Froland,,NO,L6 district
Norway,Aust-Agder,Gjerstad,,NO,L6 district
Norway,Aust-Agder,Grimstad,,NO,L6 district
Norway,Aust-Agder,Iveland,,NO,L6 district
Norway,Aust-Agder,Lillesand,,NO,L6 district
Norway,Aust-Agder,Risør,,NO,L6 district
Norway,Aust-Agder,Tvedestrand,,NO,L6 district
Norway,Aust-Agder,Valle,,NO,L6 district
Norway,Aust-Agder,Vegårshei,,NO,L6 district
Norway,Aust-Agder,Åmli,,NO,L6 district
Norway,Buskerud,,Bu,NO,L5 province
Norway,Buskerud,Drammen,,NO,L6 district
Norway,Buskerud,Flesberg,,NO,L6 district
Norway,Buskerud,Flå,,NO,L6 district
Norway,Buskerud,Gol,,NO,L6 district
Norway,Buskerud,Hemsedal,,NO,L6 district
Norway,Buskerud,Hol,,NO,L6 district
Norway,Buskerud,Hole,,NO,L6 district
Norway,Buskerud,Hurum,,NO,L6 district
Norway,Buskerud,Kongsberg,,NO,L6 district
Norway,Buskerud,Krødsherad,,NO,L6 district
Norway,Buskerud,Lier,,NO,L6 district
Norway,Buskerud,Modum,,NO,L6 district
Norway,Buskerud,Nedre Eiker,,NO,L6 district
Norway,Buskerud,Nes,,NO,L6 district
Norway,Buskerud,Nore og Uvdal,,NO,L6 district
Norway,Buskerud,Ringerike,,NO,L6 district
Norway,Buskerud,Rollag,,NO,L6 district
Norway,Buskerud,Røyken,,NO,L6 district
Norway,Buskerud,Sigdal,,NO,L6 district
Norway,Buskerud,Ål,,NO,L6 district
Norway,Buskerud,Øvre Eiker,,NO,L6 district
Norway,Finnmark,,,NO,L5 province
Norway,Finnmark,Alta,,NO,L6 district
Norway,Finnmark,Berlevåg,,NO,L6 district
Norway,Finnmark,Båtsfjord,,NO,L6 district
Norway,Finnmark,Gamvik,,NO,L6 district
Norway,Finnmark,Hammerfest,,NO,L6 district
Norway,Finnmark,Hasvik,,NO,L6 district
Norway,Finnmark,Karasjok,,NO,L6 district
Norway,Finnmark,Kautokeino,,NO,L6 district
Norway,Finnmark,Kvalsund,,NO,L6 district
Norway,Finnmark,Lebesby,,NO,L6 district
Norway,Finnmark,Loppa,,NO,L6 district
Norway,Finnmark,Måsøy,,NO,L6 district
Norway,Finnmark,Nesseby,,NO,L6 district
Norway,Finnmark,Nordkapp,,NO,L6 district
Norway,Finnmark,Porsanger,,NO,L6 district
Norway,Finnmark,Sør-Varanger,,NO,L6 district
Norway,Finnmark,Sørøysund,,NO,L6 district
Norway,Finnmark,Tana,,NO,L6 district
Norway,Finnmark,Vadsø,,NO,L6 district
Norway,Finnmark,Vardø,,NO,L6 district
Norway,Hedmark,,He,NO,L5 province
Norway,Hedmark,Alvdal,,NO,L6 district
Norway,Hedmark,Eidskog,,NO,L6 district
Norway,Hedmark,Elverum,,NO,L6 district
Norway,Hedmark,Engerdal,,NO,L6 district
Norway,Hedmark,Folldal,,NO,L6 district
Norway,Hedmark,Grue,,NO,L6 district
Norway,Hedmark,Hamar,,NO,L6 district
Norway,Hedmark,Kongsvinger,,NO,L6 district
Norway,Hedmark,Løten,,NO,L6 district
Norway,Hedmark,Nord-Odal,,NO,L6 district
Norway,Hedmark,Os,,NO,L6 district
Norway,Hedmark,Rendalen,,NO,L6 district
Norway,Hedmark,Ringsaker,,NO,L6 district
Norway,Hedmark,Stange,,NO,L6 district
Norway,Hedmark,Stor-Elvdal,,NO,L6 district
Norway,Hedmark,Sør-Odal,,NO,L6 district
Norway,Hedmark,Tolga,,NO,L6 district
Norway,Hedmark,Trysil,,NO,L6 district
Norway,Hedmark,Tynset,,NO,L6 district
Norway,Hedmark,Våler,,NO,L6 district
Norway,Hedmark,Åmot,,NO,L6 district
Norway,Hedmark,Åsnes,,NO,L6 district
Norway,Hordaland,,Ho,NO,L5 province
Norway,Hordaland,Askøy,,NO,L6 district
Norway,Hordaland,Austevoll,,NO,L6 district
Norway,Hordaland,Austrheim,,NO,L6 district
Norway,Hordaland,Bergen,,NO,L6 district
Norway,Hordaland,Bømlo,,NO,L6 district
Norway,Hordaland,Eidfjord,,NO,L6 district
Norway,Hordaland,Etne,,NO,L6 district
Norway,Hordaland,Fedje,,NO,L6 district
Norway,Hordaland,Fitjar,,NO,L6 district
Norway,Hordaland,Fjell,,NO,L6 district
Norway,Hordaland,Fusa,,NO,L6 district
Norway,Hordaland,Granvin,,NO,L6 district
Norway,Hordaland,Jondal,,NO,L6 district
Norway,Hordaland,Kvam,,NO,L6 district
Norway,Hordaland,Kvinnherad,,NO,L6 district
Norway,Hordaland,Lindås,,NO,L6 district
Norway,Hordaland,Masfjorden,,NO,L6 district
Norway,Hordaland,Meland,,NO,L6 district
Norway,Hordaland,Modalen,,NO,L6 district
Norway,Hordaland,Odda,,NO,L6 district
Norway,Hordaland,Os,,NO,L6 district
Norway,Hordaland,Osterøy,,NO,L6 district
Norway,Hordaland,Radøy,,NO,L6 district
Norway,Hordaland,Samnanger,,NO,L6 district
Norway,Hordaland,Stord,,NO,L6 district
Norway,Hordaland,Sund,,NO,L6 district
Norway,Hordaland,Sveio,,NO,L6 district
Norway,Hordaland,Tysnes,,NO,L6 district
Norway,Hordaland,Ullensvang,,NO,L6 district
Norway,Hordaland,Ulvik,,NO,L6 district
Norway,Hordaland,Vaksdal,,NO,L6 district
Norway,Hordaland,Voss,,NO,L6 district
Norway,Hordaland,Ølen,,NO,L6 district
Norway,Hordaland,Øygarden,,NO,L6 district
Norway,Møre og Romsdal,,MR,NO,L5 province
Norway,Møre og Romsdal,Aukra,,NO,L6 district
Norway,Møre og Romsdal,Aure,,NO,L6 district
Norway,Møre og Romsdal,Averøy,,NO,L6 district
Norway,Møre og Romsdal,Eide,,NO,L6 district
Norway,Møre og Romsdal,Frei,,NO,L6 district
