L4 country,L5 province,L6 district,Abbreviation,Notes,ISOcode,Swedish county,Swedish municipality,Decimal latitude,Decimal longitude,Notes,Category
Sweden,,,,,SE,,,,,,L4 country
Sweden,Blekinge,,Bl,,SE,,,,,,L5 province
Sweden,Blekinge,Asarum,,,SE,Blekinge län,Karlshamn,56.2058488864805,14.8364633310451,,L6 district
Sweden,Blekinge,Aspö,,,SE,Blekinge län,Karlskrona,56.1140415313498,15.5213700120629,,L6 district
Sweden,Blekinge,Augerum,,,SE,Blekinge län,Karlskrona,56.2168558748797,15.678464603291,,L6 district
Sweden,Blekinge,Backaryd,,,SE,Blekinge län,Ronneby,56.3458481452345,15.1572282914626,,L6 district
Sweden,Blekinge,Bräkne-Hoby,,,SE,Blekinge län,Ronneby,56.2256273857849,15.1201675970407,,L6 district
Sweden,Blekinge,Edestad,,,SE,Blekinge län,Ronneby,56.2174144869221,15.3625557990119,,L6 district
Sweden,Blekinge,Elleholm,,,SE,Blekinge län,Karlshamn,56.163021337721,14.7533834034594,,L6 district
Sweden,Blekinge,Eringsboda,,,SE,Blekinge län,Ronneby,56.4366870051509,15.368521342874,,L6 district
Sweden,Blekinge,Flymen,,,SE,Blekinge län,Karlskrona,56.3380200981456,15.7432222688267,,L6 district
Sweden,Blekinge,Fridlevstad,,,SE,Blekinge län,Karlskrona,56.2694960576664,15.5415796838662,,L6 district
Sweden,Blekinge,Förkärla,,,SE,Blekinge län,Ronneby,56.1967780295194,15.4374239664167,,L6 district
Sweden,Blekinge,Gammalstorp,,,SE,Blekinge län,Sölvesborg,56.107934358446,14.6334567939615,,L6 district
Sweden,Blekinge,Hasslö,,,SE,Blekinge län,Karlskrona,56.1189425961221,15.483756983618,,L6 district
Sweden,Blekinge,Hjortsberga,,,SE,Blekinge län,Ronneby,56.2256282504214,15.4112185165191,,L6 district
Sweden,Blekinge,Hällaryd,,,SE,Blekinge län,Karlshamn,56.2065563448013,14.9503232826782,,L6 district
Sweden,Blekinge,Jämjö,,,SE,Blekinge län,Karlskrona,56.1922653200521,15.8345846500317,,L6 district
Sweden,Blekinge,Jämshög,,här ligger Olofström,SE,Blekinge län,Olofström,56.2395460877737,14.5357429233075,här ligger Olofström,L6 district
Sweden,Blekinge,Karlshamn,,,SE,Blekinge län,Karlshamn,56.1715496812087,14.8649926235806,,L6 district
Sweden,Blekinge,Karlskrona,,Karlskrona stadsfg (+ Kungl Karlskrona amiralitetsfg),SE,Blekinge län,Karlskrona,56.1612677878271,15.5906359830393,Karlskrona stadsfg (+ Kungl Karlskrona amiralitetsfg),L6 district
Sweden,Blekinge,Kristianopel,,,SE,Blekinge län,Karlskrona,56.2566407259,16.0450498533093,,L6 district
Sweden,Blekinge,Kyrkhult,,,SE,Blekinge län,Olofström,56.3556571021138,14.5911123563151,,L6 district
Sweden,Blekinge,Listerby,,,SE,Blekinge län,Ronneby,56.1967305794815,15.405040214739,,L6 district
Sweden,Blekinge,Lösen,,,SE,Blekinge län,Karlskrona,56.197125915809,15.6911949471189,,L6 district
Sweden,Blekinge,Mjällby,,,SE,Blekinge län,Sölvesborg,56.0506599758378,14.6807691366138,,L6 district
Sweden,Blekinge,Mörrum,,,SE,Blekinge län,Karlshamn,56.1934864642335,14.752885867341,,L6 district
Sweden,Blekinge,Nättraby,,,SE,Blekinge län,Karlskrona,56.2010405596604,15.5402018681392,,L6 district
Sweden,Blekinge,Ramdala,,,SE,Blekinge län,Karlskrona,56.1804510022528,15.770995656577,,L6 district
Sweden,Blekinge,Ringamåla,,,SE,Blekinge län,Karlshamn,56.3347089981631,14.8012379702085,,L6 district
Sweden,Blekinge,Ronneby,,,SE,Blekinge län,Ronneby,56.2118576094516,15.2811116874007,,L6 district
Sweden,Blekinge,Rödeby,,,SE,Blekinge län,Karlskrona,56.2625496676498,15.6235339322013,,L6 district
Sweden,Blekinge,Sillhövda,,,SE,Blekinge län,Karlskrona,56.4099831752872,15.5460739836322,,L6 district
Sweden,Blekinge,Sturkö,,,SE,Blekinge län,Karlskrona,56.088546967004,15.6986257943933,,L6 district
Sweden,Blekinge,Sölvesborg,,,SE,Blekinge län,Sölvesborg,56.0533749532901,14.5875190983495,,L6 district
Sweden,Blekinge,Torhamn,,,SE,Blekinge län,Karlskrona,56.0953652306172,15.8357076627559,,L6 district
Sweden,Blekinge,Tving,,,SE,Blekinge län,Karlskrona,56.3092597612407,15.4683455814798,,L6 district
Sweden,Blekinge,Ysane,,,SE,Blekinge län,Sölvesborg,56.0906981009592,14.6517532020335,,L6 district
Sweden,Blekinge,Åryd,,,SE,Blekinge län,Karlshamn,56.2074702180292,15.0117552803987,,L6 district
Sweden,Blekinge,Öljehult,,,SE,Blekinge län,Ronneby,56.41879631375,15.0446339905,,L6 district
Sweden,Bohuslän,,Boh,,SE,,,,,,L5 province
Sweden,Bohuslän,Askum,,,SE,Västra Götalands län,Sotenäs,58.4161702940945,11.3402181245468,,L6 district
Sweden,Bohuslän,Backa,,,SE,Västra Götalands län,Göteborg,57.7444774181179,11.9835007302656,,L6 district
Sweden,Bohuslän,Björlanda,,,SE,Västra Götalands län,Göteborg,57.7618369565404,11.827084542295,,L6 district
Sweden,Bohuslän,Bokenäs,,,SE,Västra Götalands län,Uddevalla,58.2937506402162,11.572486338482,,L6 district
Sweden,Bohuslän,Bottna,,,SE,Västra Götalands län,Tanum,58.5048091271409,11.3817471114824,,L6 district
Sweden,Bohuslän,Brastad,,,SE,Västra Götalands län,Lysekil,58.3958635836495,11.5028595552594,,L6 district
Sweden,Bohuslän,Bro,,,SE,Västra Götalands län,Lysekil,58.4255977253768,11.4837481940675,,L6 district
Sweden,Bohuslän,Bärfendal,,,SE,Västra Götalands län,Munkedal,58.5039884837333,11.4920964485124,,L6 district
Sweden,Bohuslän,Bäve,,,SE,Västra Götalands län,Uddevalla,58.3628382768021,11.9195713817412,,L6 district
Sweden,Bohuslän,Dragsmark,,,SE,Västra Götalands län,Uddevalla,58.2527627830815,11.5543271536136,,L6 district
Sweden,Bohuslän,Forshälla,,,SE,Västra Götalands län,Uddevalla,58.2842776104113,11.9156566627329,,L6 district
Sweden,Bohuslän,Foss,,,SE,Västra Götalands län,Munkedal,58.4677962909204,11.6633724598039,,L6 district
Sweden,Bohuslän,Grinneröd,,,SE,Västra Götalands län,Uddevalla,58.1910233782219,11.9574132410385,,L6 district
Sweden,Bohuslän,Gullholmen,,,SE,Västra Götalands län,Orust,58.1797722528864,11.4043353148679,,L6 district
Sweden,Bohuslän,Harestad,,,SE,Västra Götalands län,Kungälv,57.8177163188578,11.8400545375892,,L6 district
Sweden,Bohuslän,Hede,,,SE,Västra Götalands län,Munkedal,58.6056537054454,11.7589881828733,,L6 district
