CatalogNumber,IdentifiedAsVerbatim,TypeStatusVerbatim,TypeStatusReferencesVerbatim,IdentifiedByVerbatim,IdentifiedYear,IdentifiedMonth,IdentifiedDay,IdentifiedDateVerbatim,IdentificationRemarksVerbatim,InterpretedTaxonName,SequentialNumber,ExpressedUncertainty,IsCurrent,IsOriginalIdentification,Remarks
DUMMY-1,Anthospermum ferrugineum,,,[not on sheet],,,,,,Anthospermum ferrugineum Eckl. & Zeyh.,1,no,no,no,Printed label with protologue
DUMMY-1,iso-TYPE of Anthospermum ferrugineum E. & Z.,iso-TYPE,,C. PUFF,1983,4,30,,,Anthospermum ferrugineum Eckl. & Zeyh.,2,no,no,no,
DUMMY-1,SYNTYPE of A. lanceolatum Thunb. var latifolium SOND.,SYNTYPE,,C. PUFF,1983,4,30,,,Anthospermum lanceolatum var. latifolium Sond.,3,no,no,no,
DUMMY-1,Anthospermum herbaceum L.f.,,,C. PUFF,1983,4,19,,,Anthospermum herbaceum L.f.,4,no,yes,no,
DUMMY-1,ISOTYPUS,ISOTYPUS,,[not on sheet],,,,,,,5,no,no,no,Red label
DUMMY-2,Heliotropium ovalifolium Forsk.,,,[not on sheet],,,,,,Heliotropium ovalifolium Forssk.,1,no,no,no,
DUMMY-2,Heliotropium coromendalianum Retz. var. ovalifolum Forsk.,,,[not on sheet],,,,,,Heliotropium coromendalianum var. ovalifolium Forssk.,2,no,no,no,
DUMMY-2,ISOTYPUS // Heliotropium coromandelianum var. obovatum DC.,ISOTYPUS,Prodr. 9: 541. 1845,H. Förther,1994,11,,,,Heliotropium coromandelianum var. obovatum DC.,3,no,no,no,Attached red label with type status
DUMMY-2,SYNTYPUS // Heliotropium niloticum A. DC.,SYNTYPUS,Prodr. 9: 541. 1845,H. Förther,1994,11,,,,Heliotropium niloticum A. DC.,4,no,no,no,Attached red label with type status
DUMMY-2,Heliotropium ovalifolium Forssk.,,,H. Förther,1994,11,,,,Heliotropium ovalifolium Forssk.,5,no,yes,no,
DUMMY-3,Taraxacum cacuminatum m. n. sp.,,,,,,,,,Taraxacum cacuminatum G. E. Haglund,1,no,yes,yes,
DUMMY-3,HOLOTYPUS,HOLOTYPUS,,,,,,,,,2,no,no,no,Red label
DUMMY-3,TYPUS!,TYPUS!,,,,,,,,,3,no,no,no,Red label
DUMMY-4,Polygala vulgaris L.,,,,,,,,,Polygala vulgaris L.,1,no,no,yes,
DUMMY-4,Polygala vulgaris L.,,,L. Löfgren,1993,,,,,Polygala vulgaris L.,2,no,yes,no,
DUMMY-5,Carex contigua,,,,,,,,,Carex contigua Hoppe,1,no,no,yes,
DUMMY-5,Carex spicata Huds.,,,,,,,,,Carex spicata Huds.,2,no,yes,no,
DUMMY-6,Hieracium sagittatum Lindeb.,,,,,,,,,Hieracium sagittatum (Lindeb.) Dahlst.,1,no,yes,yes,
DUMMY-7,Isoëtes lacustris,,,,,,,,,Isoëtes lacustris L.,1,no,no,yes,
DUMMY-7,I. lacustris,,,Hans-Erik Wanntorp,1997,,,,för Sörmlandsfloran,Isoëtes lacustris L.,2,no,yes,no,
DUMMY-8,Isoëtes lacustris,,,,,,,,,Isoëtes lacustris L.,1,no,no,yes,
DUMMY-8,Isoëtes echinospora,,,Hans-Erik Wanntorp,1997,,,,för Sörmlandsfloran,Isoëtes echinospora Durieu,2,no,yes,no,
DUMMY-9,Ephedra distachya L.,,,,,,,,,Ephedra distachya L.,1,no,no,yes,
DUMMY-9,Ephedra helvetica C. A. Mey.,,,R. Florin,1927,,,,,Ephedra helvetica C. A. Mey.,2,no,yes,no,
DUMMY-10,Rhipsalis capilliformis,,,,,,,,,Rhipsalis capilliformis F. A. C. Weber,1,no,yes,yes,
DUMMY-11,Arrabidaea parviflora var. glaziovii Bureau & K. Schum.,,,,,,,,,Arrabidaea parviflora var. glaziovii Bureau & K. Schum.,1,no,yes,yes,
DUMMY-12,Eugenia n. sp.,,,"Ekman, E. L. [scripsit]",,,,,,Eugenia,1,no,no,yes,
DUMMY-12,Eugenia lindahlii Urb. et Ekm. (typus),typus,,,,,,,,Eugenia lindahlii Urb. & Ekman,2,no,yes,no,
DUMMY-13,Helipterum humboldtianum (Gaudich.) DC.,,,,,,,,,Helipterum humboldtianum (Gaudich.) DC.,1,no,yes,yes,
