Division,Order,Family,Genus,SpecificEpithet,InfraspecificEpithet,Author,FullNameWithAuthor,Category
Gnetophyta,,,,,,,Gnetophyta,Division
Gnetophyta,Gnetales,,,,,,Gnetales,Order
Gnetophyta,Gnetales,Ephedraceae,,,,,Ephedraceae,Family
Gnetophyta,Gnetales,Ephedraceae,Ephedra,,,,Ephedra,Genus
Gnetophyta,Gnetales,Ephedraceae,Ephedra,distachya,,L.,Ephedra distachya L.,SpecificEpithet
Gnetophyta,Gnetales,Ephedraceae,Ephedra,distachya,subsp. helvetica,(C. A. Mey.) Asch. & Graebn.,Ephedra distachya subsp. helvetica (C. A. Mey.) Asch. & Graebn.,InfraspecificEpithet
Lycophyta,,,,,,,Lycophyta,Division
Lycophyta,Isoëtales,,,,,,Isoëtales,Order
Lycophyta,Isoëtales,Isoëtaceae,,,,,Isoëtaceae,Family
Lycophyta,Isoëtales,Isoëtaceae,Isoëtes,,,,Isoëtes,Genus
Lycophyta,Isoëtales,Isoëtaceae,Isoëtes,echinospora,,Durieu,Isoëtes echinospora Durieu,SpecificEpithet
Lycophyta,Isoëtales,Isoëtaceae,Isoëtes,lacustris,,L.,Isoëtes lacustris L.,SpecificEpithet
Lycophyta,Lycopodiales,,,,,,Lycopodiales,Order
Lycophyta,Lycopodiales,Lycopodiaceae,,,,,Lycopodiaceae,Family
Lycophyta,Lycopodiales,Lycopodiaceae,Huperzia,,,,Huperzia,Genus
Lycophyta,Lycopodiales,Lycopodiaceae,Huperzia,selago,,(L.) Bernh. ex Schrank & Mart.,Huperzia selago (L.) Bernh. ex Schrank & Mart.,SpecificEpithet
Lycophyta,Lycopodiales,Lycopodiaceae,Huperzia,selago,subsp. arctica,(Grossh.) Á. Löve & D. Löve,Huperzia selago subsp. arctica (Grossh.) Á. Löve & D. Löve,InfraspecificEpithet
Lycophyta,Lycopodiales,Lycopodiaceae,Huperzia,selago,subsp. selago,(L.) Bernh. ex Schrank & Mart.,Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,InfraspecificEpithet
Magnoliophyta,,,,,,,Magnoliophyta,Division
Magnoliophyta,Alismatales,,,,,,Alismatales,Order
Magnoliophyta,Alismatales,Alismataceae,,,,,Alismataceae,Family
Magnoliophyta,Alismatales,Alismataceae,Baldellia,,,,Baldellia,Genus
Magnoliophyta,Alismatales,Alismataceae,Baldellia,ranunculoides,,(L.) Parl.,Baldellia ranunculoides (L.) Parl.,SpecificEpithet
Magnoliophyta,Alismatales,Lemnaceae,,,,,Lemnaceae,Family
Magnoliophyta,Alismatales,Lemnaceae,Lemna,,,L.,Lemna L.,Genus
Magnoliophyta,Apiales,,,,,,Apiales,Order
Magnoliophyta,Apiales,Apiaceae,,,,,Apiaceae,Family
Magnoliophyta,Apiales,Apiaceae,Oenanthe,,,,Oenanthe,Genus
Magnoliophyta,Apiales,Apiaceae,Oenanthe,fistulosa,,L.,Oenanthe fistulosa L.,SpecificEpithet
Magnoliophyta,Asparagales,,,,,,Asparagales,Order
Magnoliophyta,Asparagales,Orchidaceae,,,,,Orchidaceae,Family
Magnoliophyta,Asparagales,Orchidaceae,Eulophia,,,,Eulophia,Genus
