ValueListName,Value,IsRecommended,Remarks
TypeStatusCategory,epitype,yes,
TypeStatusCategory,holotype,yes,
TypeStatusCategory,isoepitype,yes,
TypeStatusCategory,isolectotype,yes,
TypeStatusCategory,isoneotype,yes,
TypeStatusCategory,isosyntype,yes,
TypeStatusCategory,isotype,yes,
TypeStatusCategory,lectotype,yes,
TypeStatusCategory,neotype,yes,
TypeStatusCategory,non-type,yes,
TypeStatusCategory,paratype,yes,
TypeStatusCategory,syntype,yes,
TypeStatusCategory,unspecified type,yes,
EstablishmentMeans,introduced,yes,
EstablishmentMeans,invasive,yes,
EstablishmentMeans,managed,yes,
EstablishmentMeans,native,yes,
EstablishmentMeans,naturalised,yes,
EstablishmentMeans,uncertain,yes,
PreparationType,dried on sheet,yes,
PreparationType,dried macroscopic object,yes,
PreparationType,in alcohol,yes,
PreparationType,microscope slide: pollen,yes,
